,,AB07CC0030 (Grid 1325) (mg/l),mg/m3,Discharge(m3/s),observed_load (mg/s)
21-10-2014,12:40:00 PM,2.7,2700,375,1012500
21-10-2014,1:45:00 PM,4.7,4700,375,1762500
21-10-2014,2:00:00 PM,5.3,5300,375,1987500
18-11-2014,1:50:00 PM,2.7,2700,212,572400
09-12-2014,3:35:00 PM,2.7,2700,177,477900
13-01-2015,2:00:00 PM,2,2000,110,220000
09-02-2015,3:00:00 PM,2.7,2700,138,372600
09-03-2015,2:20:00 PM,1.3,1300,145,188500
11-05-2015,3:00:00 PM,51,51000,674,34374000
18-06-2015,4:00:00 PM,110,110000,852,93720000
20-07-2015,2:00:00 PM,31,31000,658,20398000
10-08-2015,1:45:00 PM,37,37000,578,21386000
24-09-2015,7:00:00 AM,4,4000,411,1644000
19-10-2015,12:30:00 PM,3.3,3300,326,1075800
18-11-2015,10:45:00 AM,2,2000,171,342000
